"","Code.or.Value","Value.Description","Count","Cumulative","Skip.to.Item","Variable","Fichier","jointure","var_tab"
"1951","D","Sound primary tooth",1604,"1855",NA,"OHX12CTC","OHXDEN_I.htm","OHX12CTC_OHXDEN_D","OHX12CTC_OHXDEN"
"1952","E","Missing due to dental disease",309,"2164",NA,"OHX12CTC","OHXDEN_I.htm","OHX12CTC_OHXDEN_E","OHX12CTC_OHXDEN"
"1953","F","Permanent tooth with a restored surface condition",1134,"3298",NA,"OHX12CTC","OHXDEN_I.htm","OHX12CTC_OHXDEN_F","OHX12CTC_OHXDEN"
"1954","J","Permanent root tip is present but no restorative replacement is present",82,"3380",NA,"OHX12CTC","OHXDEN_I.htm","OHX12CTC_OHXDEN_J","OHX12CTC_OHXDEN"
"1955","K","Primary tooth with a dental carious surface condition",47,"3427",NA,"OHX12CTC","OHXDEN_I.htm","OHX12CTC_OHXDEN_K","OHX12CTC_OHXDEN"
"1956","M","Missing due to other causes",302,"3729",NA,"OHX12CTC","OHXDEN_I.htm","OHX12CTC_OHXDEN_M","OHX12CTC_OHXDEN"
"1957","P","Missing due to dental disease but replaced by a removable restoration",649,"4378",NA,"OHX12CTC","OHXDEN_I.htm","OHX12CTC_OHXDEN_P","OHX12CTC_OHXDEN"
"1958","Q","Missing due to other causes but replaced by a removable restoration",27,"4405",NA,"OHX12CTC","OHXDEN_I.htm","OHX12CTC_OHXDEN_Q","OHX12CTC_OHXDEN"
"1959","R","Missing due to dental disease but replaced by a fixed restoration",76,"4481",NA,"OHX12CTC","OHXDEN_I.htm","OHX12CTC_OHXDEN_R","OHX12CTC_OHXDEN"
"1960","S","Sound permanent tooth",4140,"8621",NA,"OHX12CTC","OHXDEN_I.htm","OHX12CTC_OHXDEN_S","OHX12CTC_OHXDEN"
"1961","T","Permanent root tip is present but a restorative replacement is present",0,"8621",NA,"OHX12CTC","OHXDEN_I.htm","OHX12CTC_OHXDEN_T","OHX12CTC_OHXDEN"
"1962","U","Unerupted",122,"8743",NA,"OHX12CTC","OHXDEN_I.htm","OHX12CTC_OHXDEN_U","OHX12CTC_OHXDEN"
"1963","X","Missing due to other causes but replaced by a fixed restoration",3,"8746",NA,"OHX12CTC","OHXDEN_I.htm","OHX12CTC_OHXDEN_X","OHX12CTC_OHXDEN"
"1964","Y","Tooth present, condition cannot be assessed",13,"8759",NA,"OHX12CTC","OHXDEN_I.htm","OHX12CTC_OHXDEN_Y","OHX12CTC_OHXDEN"
"1965","Z","Permanent tooth with a dental carious surface condition",99,"8858",NA,"OHX12CTC","OHXDEN_I.htm","OHX12CTC_OHXDEN_Z","OHX12CTC_OHXDEN"
"1966","< blank >","Missing",307,"9165",NA,"OHX12CTC","OHXDEN_I.htm","OHX12CTC_OHXDEN_< blank >","OHX12CTC_OHXDEN"
"1967","A","Primary tooth with a restored surface condition",314,"314",NA,"OHX13CTC","OHXDEN_I.htm","OHX13CTC_OHXDEN_A","OHX13CTC_OHXDEN"
"1968","D","Sound primary tooth",1476,"1790",NA,"OHX13CTC","OHXDEN_I.htm","OHX13CTC_OHXDEN_D","OHX13CTC_OHXDEN"
"1969","E","Missing due to dental disease",401,"2191",NA,"OHX13CTC","OHXDEN_I.htm","OHX13CTC_OHXDEN_E","OHX13CTC_OHXDEN"
"1970","F","Permanent tooth with a restored surface condition",1391,"3582",NA,"OHX13CTC","OHXDEN_I.htm","OHX13CTC_OHXDEN_F","OHX13CTC_OHXDEN"
"1971","J","Permanent root tip is present but no restorative replacement is present",91,"3673",NA,"OHX13CTC","OHXDEN_I.htm","OHX13CTC_OHXDEN_J","OHX13CTC_OHXDEN"
"1972","K","Primary tooth with a dental carious surface condition",56,"3729",NA,"OHX13CTC","OHXDEN_I.htm","OHX13CTC_OHXDEN_K","OHX13CTC_OHXDEN"
"1973","M","Missing due to other causes",12,"3741",NA,"OHX13CTC","OHXDEN_I.htm","OHX13CTC_OHXDEN_M","OHX13CTC_OHXDEN"
"1974","P","Missing due to dental disease but replaced by a removable restoration",644,"4385",NA,"OHX13CTC","OHXDEN_I.htm","OHX13CTC_OHXDEN_P","OHX13CTC_OHXDEN"
"1975","Q","Missing due to other causes but replaced by a removable restoration",27,"4412",NA,"OHX13CTC","OHXDEN_I.htm","OHX13CTC_OHXDEN_Q","OHX13CTC_OHXDEN"
"1976","R","Missing due to dental disease but replaced by a fixed restoration",66,"4478",NA,"OHX13CTC","OHXDEN_I.htm","OHX13CTC_OHXDEN_R","OHX13CTC_OHXDEN"
"1977","S","Sound permanent tooth",3912,"8390",NA,"OHX13CTC","OHXDEN_I.htm","OHX13CTC_OHXDEN_S","OHX13CTC_OHXDEN"
"1978","T","Permanent root tip is present but a restorative replacement is present",1,"8391",NA,"OHX13CTC","OHXDEN_I.htm","OHX13CTC_OHXDEN_T","OHX13CTC_OHXDEN"
"1979","U","Unerupted",359,"8750",NA,"OHX13CTC","OHXDEN_I.htm","OHX13CTC_OHXDEN_U","OHX13CTC_OHXDEN"
"1980","X","Missing due to other causes but replaced by a fixed restoration",0,"8750",NA,"OHX13CTC","OHXDEN_I.htm","OHX13CTC_OHXDEN_X","OHX13CTC_OHXDEN"
"1981","Y","Tooth present, condition cannot be assessed",13,"8763",NA,"OHX13CTC","OHXDEN_I.htm","OHX13CTC_OHXDEN_Y","OHX13CTC_OHXDEN"
"1982","Z","Permanent tooth with a dental carious surface condition",95,"8858",NA,"OHX13CTC","OHXDEN_I.htm","OHX13CTC_OHXDEN_Z","OHX13CTC_OHXDEN"
"1983","< blank >","Missing",307,"9165",NA,"OHX13CTC","OHXDEN_I.htm","OHX13CTC_OHXDEN_< blank >","OHX13CTC_OHXDEN"
"1984","A","Primary tooth with a restored surface condition",0,"0",NA,"OHX14CTC","OHXDEN_I.htm","OHX14CTC_OHXDEN_A","OHX14CTC_OHXDEN"
"1985","D","Sound primary tooth",0,"0",NA,"OHX14CTC","OHXDEN_I.htm","OHX14CTC_OHXDEN_D","OHX14CTC_OHXDEN"
"1986","E","Missing due to dental disease",622,"622",NA,"OHX14CTC","OHXDEN_I.htm","OHX14CTC_OHXDEN_E","OHX14CTC_OHXDEN"
"1987","F","Permanent tooth with a restored surface condition",2458,"3080",NA,"OHX14CTC","OHXDEN_I.htm","OHX14CTC_OHXDEN_F","OHX14CTC_OHXDEN"
"1988","J","Permanent root tip is present but no restorative replacement is present",74,"3154",NA,"OHX14CTC","OHXDEN_I.htm","OHX14CTC_OHXDEN_J","OHX14CTC_OHXDEN"
"1989","K","Primary tooth with a dental carious surface condition",0,"3154",NA,"OHX14CTC","OHXDEN_I.htm","OHX14CTC_OHXDEN_K","OHX14CTC_OHXDEN"
"1990","M","Missing due to other causes",5,"3159",NA,"OHX14CTC","OHXDEN_I.htm","OHX14CTC_OHXDEN_M","OHX14CTC_OHXDEN"
"1991","P","Missing due to dental disease but replaced by a removable restoration",663,"3822",NA,"OHX14CTC","OHXDEN_I.htm","OHX14CTC_OHXDEN_P","OHX14CTC_OHXDEN"
"1992","Q","Missing due to other causes but replaced by a removable restoration",27,"3849",NA,"OHX14CTC","OHXDEN_I.htm","OHX14CTC_OHXDEN_Q","OHX14CTC_OHXDEN"
"1993","R","Missing due to dental disease but replaced by a fixed restoration",61,"3910",NA,"OHX14CTC","OHXDEN_I.htm","OHX14CTC_OHXDEN_R","OHX14CTC_OHXDEN"
"1994","S","Sound permanent tooth",3531,"7441",NA,"OHX14CTC","OHXDEN_I.htm","OHX14CTC_OHXDEN_S","OHX14CTC_OHXDEN"
"1995","T","Permanent root tip is present but a restorative replacement is present",2,"7443",NA,"OHX14CTC","OHXDEN_I.htm","OHX14CTC_OHXDEN_T","OHX14CTC_OHXDEN"
"1996","U","Unerupted",1209,"8652",NA,"OHX14CTC","OHXDEN_I.htm","OHX14CTC_OHXDEN_U","OHX14CTC_OHXDEN"
"1997","X","Missing due to other causes but replaced by a fixed restoration",0,"8652",NA,"OHX14CTC","OHXDEN_I.htm","OHX14CTC_OHXDEN_X","OHX14CTC_OHXDEN"
"1998","Y","Tooth present, condition cannot be assessed",8,"8660",NA,"OHX14CTC","OHXDEN_I.htm","OHX14CTC_OHXDEN_Y","OHX14CTC_OHXDEN"
"1999","Z","Permanent tooth with a dental carious surface condition",198,"8858",NA,"OHX14CTC","OHXDEN_I.htm","OHX14CTC_OHXDEN_Z","OHX14CTC_OHXDEN"
"2000","< blank >","Missing",307,"9165",NA,"OHX14CTC","OHXDEN_I.htm","OHX14CTC_OHXDEN_< blank >","OHX14CTC_OHXDEN"
"2001","A","Primary tooth with a restored surface condition",0,"0",NA,"OHX15CTC","OHXDEN_I.htm","OHX15CTC_OHXDEN_A","OHX15CTC_OHXDEN"
"2002","D","Sound primary tooth",0,"0",NA,"OHX15CTC","OHXDEN_I.htm","OHX15CTC_OHXDEN_D","OHX15CTC_OHXDEN"
"2003","E","Missing due to dental disease",726,"726",NA,"OHX15CTC","OHXDEN_I.htm","OHX15CTC_OHXDEN_E","OHX15CTC_OHXDEN"
"2004","F","Permanent tooth with a restored surface condition",1905,"2631",NA,"OHX15CTC","OHXDEN_I.htm","OHX15CTC_OHXDEN_F","OHX15CTC_OHXDEN"
"2005","J","Permanent root tip is present but no restorative replacement is present",77,"2708",NA,"OHX15CTC","OHXDEN_I.htm","OHX15CTC_OHXDEN_J","OHX15CTC_OHXDEN"
"2006","K","Primary tooth with a dental carious surface condition",0,"2708",NA,"OHX15CTC","OHXDEN_I.htm","OHX15CTC_OHXDEN_K","OHX15CTC_OHXDEN"
"2007","M","Missing due to other causes",10,"2718",NA,"OHX15CTC","OHXDEN_I.htm","OHX15CTC_OHXDEN_M","OHX15CTC_OHXDEN"
"2008","P","Missing due to dental disease but replaced by a removable restoration",623,"3341",NA,"OHX15CTC","OHXDEN_I.htm","OHX15CTC_OHXDEN_P","OHX15CTC_OHXDEN"
"2009","Q","Missing due to other causes but replaced by a removable restoration",24,"3365",NA,"OHX15CTC","OHXDEN_I.htm","OHX15CTC_OHXDEN_Q","OHX15CTC_OHXDEN"
"2010","R","Missing due to dental disease but replaced by a fixed restoration",8,"3373",NA,"OHX15CTC","OHXDEN_I.htm","OHX15CTC_OHXDEN_R","OHX15CTC_OHXDEN"
"2011","S","Sound permanent tooth",2834,"6207",NA,"OHX15CTC","OHXDEN_I.htm","OHX15CTC_OHXDEN_S","OHX15CTC_OHXDEN"
"2012","T","Permanent root tip is present but a restorative replacement is present",0,"6207",NA,"OHX15CTC","OHXDEN_I.htm","OHX15CTC_OHXDEN_T","OHX15CTC_OHXDEN"
"2013","U","Unerupted",2407,"8614",NA,"OHX15CTC","OHXDEN_I.htm","OHX15CTC_OHXDEN_U","OHX15CTC_OHXDEN"
"2014","X","Missing due to other causes but replaced by a fixed restoration",0,"8614",NA,"OHX15CTC","OHXDEN_I.htm","OHX15CTC_OHXDEN_X","OHX15CTC_OHXDEN"
"2015","Y","Tooth present, condition cannot be assessed",10,"8624",NA,"OHX15CTC","OHXDEN_I.htm","OHX15CTC_OHXDEN_Y","OHX15CTC_OHXDEN"
"2016","Z","Permanent tooth with a dental carious surface condition",234,"8858",NA,"OHX15CTC","OHXDEN_I.htm","OHX15CTC_OHXDEN_Z","OHX15CTC_OHXDEN"
"2017","< blank >","Missing",307,"9165",NA,"OHX15CTC","OHXDEN_I.htm","OHX15CTC_OHXDEN_< blank >","OHX15CTC_OHXDEN"
"2018","A","Primary tooth with a restored surface condition",0,"0",NA,"OHX18CTC","OHXDEN_I.htm","OHX18CTC_OHXDEN_A","OHX18CTC_OHXDEN"
"2019","D","Sound primary tooth",0,"0",NA,"OHX18CTC","OHXDEN_I.htm","OHX18CTC_OHXDEN_D","OHX18CTC_OHXDEN"
"2020","E","Missing due to dental disease",1025,"1025",NA,"OHX18CTC","OHXDEN_I.htm","OHX18CTC_OHXDEN_E","OHX18CTC_OHXDEN"
"2021","F","Permanent tooth with a restored surface condition",2124,"3149",NA,"OHX18CTC","OHXDEN_I.htm","OHX18CTC_OHXDEN_F","OHX18CTC_OHXDEN"
"2022","J","Permanent root tip is present but no restorative replacement is present",57,"3206",NA,"OHX18CTC","OHXDEN_I.htm","OHX18CTC_OHXDEN_J","OHX18CTC_OHXDEN"
"2023","K","Primary tooth with a dental carious surface condition",0,"3206",NA,"OHX18CTC","OHXDEN_I.htm","OHX18CTC_OHXDEN_K","OHX18CTC_OHXDEN"
"2024","M","Missing due to other causes",14,"3220",NA,"OHX18CTC","OHXDEN_I.htm","OHX18CTC_OHXDEN_M","OHX18CTC_OHXDEN"
"2025","P","Missing due to dental disease but replaced by a removable restoration",530,"3750",NA,"OHX18CTC","OHXDEN_I.htm","OHX18CTC_OHXDEN_P","OHX18CTC_OHXDEN"
"2026","Q","Missing due to other causes but replaced by a removable restoration",16,"3766",NA,"OHX18CTC","OHXDEN_I.htm","OHX18CTC_OHXDEN_Q","OHX18CTC_OHXDEN"
"2027","R","Missing due to dental disease but replaced by a fixed restoration",29,"3795",NA,"OHX18CTC","OHXDEN_I.htm","OHX18CTC_OHXDEN_R","OHX18CTC_OHXDEN"
"2028","S","Sound permanent tooth",2468,"6263",NA,"OHX18CTC","OHXDEN_I.htm","OHX18CTC_OHXDEN_S","OHX18CTC_OHXDEN"
"2029","T","Permanent root tip is present but a restorative replacement is present",0,"6263",NA,"OHX18CTC","OHXDEN_I.htm","OHX18CTC_OHXDEN_T","OHX18CTC_OHXDEN"
"2030","U","Unerupted",2293,"8556",NA,"OHX18CTC","OHXDEN_I.htm","OHX18CTC_OHXDEN_U","OHX18CTC_OHXDEN"
"2031","X","Missing due to other causes but replaced by a fixed restoration",1,"8557",NA,"OHX18CTC","OHXDEN_I.htm","OHX18CTC_OHXDEN_X","OHX18CTC_OHXDEN"
"2032","Y","Tooth present, condition cannot be assessed",26,"8583",NA,"OHX18CTC","OHXDEN_I.htm","OHX18CTC_OHXDEN_Y","OHX18CTC_OHXDEN"
"2033","Z","Permanent tooth with a dental carious surface condition",275,"8858",NA,"OHX18CTC","OHXDEN_I.htm","OHX18CTC_OHXDEN_Z","OHX18CTC_OHXDEN"
"2034","< blank >","Missing",307,"9165",NA,"OHX18CTC","OHXDEN_I.htm","OHX18CTC_OHXDEN_< blank >","OHX18CTC_OHXDEN"
"2035","A","Primary tooth with a restored surface condition",0,"0",NA,"OHX19CTC","OHXDEN_I.htm","OHX19CTC_OHXDEN_A","OHX19CTC_OHXDEN"
"2036","D","Sound primary tooth",0,"0",NA,"OHX19CTC","OHXDEN_I.htm","OHX19CTC_OHXDEN_D","OHX19CTC_OHXDEN"
"2037","E","Missing due to dental disease",1091,"1091",NA,"OHX19CTC","OHXDEN_I.htm","OHX19CTC_OHXDEN_E","OHX19CTC_OHXDEN"
"2038","F","Permanent tooth with a restored surface condition",2443,"3534",NA,"OHX19CTC","OHXDEN_I.htm","OHX19CTC_OHXDEN_F","OHX19CTC_OHXDEN"
"2039","J","Permanent root tip is present but no restorative replacement is present",70,"3604",NA,"OHX19CTC","OHXDEN_I.htm","OHX19CTC_OHXDEN_J","OHX19CTC_OHXDEN"
"2040","K","Primary tooth with a dental carious surface condition",0,"3604",NA,"OHX19CTC","OHXDEN_I.htm","OHX19CTC_OHXDEN_K","OHX19CTC_OHXDEN"
"2041","M","Missing due to other causes",8,"3612",NA,"OHX19CTC","OHXDEN_I.htm","OHX19CTC_OHXDEN_M","OHX19CTC_OHXDEN"
"2042","P","Missing due to dental disease but replaced by a removable restoration",561,"4173",NA,"OHX19CTC","OHXDEN_I.htm","OHX19CTC_OHXDEN_P","OHX19CTC_OHXDEN"
"2043","Q","Missing due to other causes but replaced by a removable restoration",16,"4189",NA,"OHX19CTC","OHXDEN_I.htm","OHX19CTC_OHXDEN_Q","OHX19CTC_OHXDEN"
"2044","R","Missing due to dental disease but replaced by a fixed restoration",132,"4321",NA,"OHX19CTC","OHXDEN_I.htm","OHX19CTC_OHXDEN_R","OHX19CTC_OHXDEN"
"2045","S","Sound permanent tooth",3145,"7466",NA,"OHX19CTC","OHXDEN_I.htm","OHX19CTC_OHXDEN_S","OHX19CTC_OHXDEN"
"2046","T","Permanent root tip is present but a restorative replacement is present",3,"7469",NA,"OHX19CTC","OHXDEN_I.htm","OHX19CTC_OHXDEN_T","OHX19CTC_OHXDEN"
"2047","U","Unerupted",1147,"8616",NA,"OHX19CTC","OHXDEN_I.htm","OHX19CTC_OHXDEN_U","OHX19CTC_OHXDEN"
"2048","X","Missing due to other causes but replaced by a fixed restoration",1,"8617",NA,"OHX19CTC","OHXDEN_I.htm","OHX19CTC_OHXDEN_X","OHX19CTC_OHXDEN"
"2049","Y","Tooth present, condition cannot be assessed",14,"8631",NA,"OHX19CTC","OHXDEN_I.htm","OHX19CTC_OHXDEN_Y","OHX19CTC_OHXDEN"
"2050","Z","Permanent tooth with a dental carious surface condition",227,"8858",NA,"OHX19CTC","OHXDEN_I.htm","OHX19CTC_OHXDEN_Z","OHX19CTC_OHXDEN"
"2051","< blank >","Missing",307,"9165",NA,"OHX19CTC","OHXDEN_I.htm","OHX19CTC_OHXDEN_< blank >","OHX19CTC_OHXDEN"
"2052","A","Primary tooth with a restored surface condition",400,"400",NA,"OHX20CTC","OHXDEN_I.htm","OHX20CTC_OHXDEN_A","OHX20CTC_OHXDEN"
"2053","D","Sound primary tooth",1403,"1803",NA,"OHX20CTC","OHXDEN_I.htm","OHX20CTC_OHXDEN_D","OHX20CTC_OHXDEN"
"2054","E","Missing due to dental disease",385,"2188",NA,"OHX20CTC","OHXDEN_I.htm","OHX20CTC_OHXDEN_E","OHX20CTC_OHXDEN"
"2055","F","Permanent tooth with a restored surface condition",1220,"3408",NA,"OHX20CTC","OHXDEN_I.htm","OHX20CTC_OHXDEN_F","OHX20CTC_OHXDEN"
"2056","J","Permanent root tip is present but no restorative replacement is present",61,"3469",NA,"OHX20CTC","OHXDEN_I.htm","OHX20CTC_OHXDEN_J","OHX20CTC_OHXDEN"
"2057","K","Primary tooth with a dental carious surface condition",75,"3544",NA,"OHX20CTC","OHXDEN_I.htm","OHX20CTC_OHXDEN_K","OHX20CTC_OHXDEN"
"2058","M","Missing due to other causes",15,"3559",NA,"OHX20CTC","OHXDEN_I.htm","OHX20CTC_OHXDEN_M","OHX20CTC_OHXDEN"
"2059","P","Missing due to dental disease but replaced by a removable restoration",467,"4026",NA,"OHX20CTC","OHXDEN_I.htm","OHX20CTC_OHXDEN_P","OHX20CTC_OHXDEN"
"2060","Q","Missing due to other causes but replaced by a removable restoration",16,"4042",NA,"OHX20CTC","OHXDEN_I.htm","OHX20CTC_OHXDEN_Q","OHX20CTC_OHXDEN"
"2061","R","Missing due to dental disease but replaced by a fixed restoration",39,"4081",NA,"OHX20CTC","OHXDEN_I.htm","OHX20CTC_OHXDEN_R","OHX20CTC_OHXDEN"
"2062","S","Sound permanent tooth",4300,"8381",NA,"OHX20CTC","OHXDEN_I.htm","OHX20CTC_OHXDEN_S","OHX20CTC_OHXDEN"
"2063","T","Permanent root tip is present but a restorative replacement is present",1,"8382",NA,"OHX20CTC","OHXDEN_I.htm","OHX20CTC_OHXDEN_T","OHX20CTC_OHXDEN"
"2064","U","Unerupted",357,"8739",NA,"OHX20CTC","OHXDEN_I.htm","OHX20CTC_OHXDEN_U","OHX20CTC_OHXDEN"
"2065","X","Missing due to other causes but replaced by a fixed restoration",2,"8741",NA,"OHX20CTC","OHXDEN_I.htm","OHX20CTC_OHXDEN_X","OHX20CTC_OHXDEN"
"2066","Y","Tooth present, condition cannot be assessed",7,"8748",NA,"OHX20CTC","OHXDEN_I.htm","OHX20CTC_OHXDEN_Y","OHX20CTC_OHXDEN"
"2067","Z","Permanent tooth with a dental carious surface condition",110,"8858",NA,"OHX20CTC","OHXDEN_I.htm","OHX20CTC_OHXDEN_Z","OHX20CTC_OHXDEN"
"2068","< blank >","Missing",307,"9165",NA,"OHX20CTC","OHXDEN_I.htm","OHX20CTC_OHXDEN_< blank >","OHX20CTC_OHXDEN"
"2069","A","Primary tooth with a restored surface condition",300,"300",NA,"OHX21CTC","OHXDEN_I.htm","OHX21CTC_OHXDEN_A","OHX21CTC_OHXDEN"
"2070","D","Sound primary tooth",1527,"1827",NA,"OHX21CTC","OHXDEN_I.htm","OHX21CTC_OHXDEN_D","OHX21CTC_OHXDEN"
"2071","E","Missing due to dental disease",160,"1987",NA,"OHX21CTC","OHXDEN_I.htm","OHX21CTC_OHXDEN_E","OHX21CTC_OHXDEN"
"2072","F","Permanent tooth with a restored surface condition",644,"2631",NA,"OHX21CTC","OHXDEN_I.htm","OHX21CTC_OHXDEN_F","OHX21CTC_OHXDEN"
"2073","J","Permanent root tip is present but no restorative replacement is present",48,"2679",NA,"OHX21CTC","OHXDEN_I.htm","OHX21CTC_OHXDEN_J","OHX21CTC_OHXDEN"
"2074","K","Primary tooth with a dental carious surface condition",70,"2749",NA,"OHX21CTC","OHXDEN_I.htm","OHX21CTC_OHXDEN_K","OHX21CTC_OHXDEN"
"2075","M","Missing due to other causes",239,"2988",NA,"OHX21CTC","OHXDEN_I.htm","OHX21CTC_OHXDEN_M","OHX21CTC_OHXDEN"
"2076","P","Missing due to dental disease but replaced by a removable restoration",387,"3375",NA,"OHX21CTC","OHXDEN_I.htm","OHX21CTC_OHXDEN_P","OHX21CTC_OHXDEN"
"2077","Q","Missing due to other causes but replaced by a removable restoration",15,"3390",NA,"OHX21CTC","OHXDEN_I.htm","OHX21CTC_OHXDEN_Q","OHX21CTC_OHXDEN"
"2078","R","Missing due to dental disease but replaced by a fixed restoration",17,"3407",NA,"OHX21CTC","OHXDEN_I.htm","OHX21CTC_OHXDEN_R","OHX21CTC_OHXDEN"
"2079","S","Sound permanent tooth",5223,"8630",NA,"OHX21CTC","OHXDEN_I.htm","OHX21CTC_OHXDEN_S","OHX21CTC_OHXDEN"
"2080","T","Permanent root tip is present but a restorative replacement is present",1,"8631",NA,"OHX21CTC","OHXDEN_I.htm","OHX21CTC_OHXDEN_T","OHX21CTC_OHXDEN"
"2081","U","Unerupted",137,"8768",NA,"OHX21CTC","OHXDEN_I.htm","OHX21CTC_OHXDEN_U","OHX21CTC_OHXDEN"
"2082","X","Missing due to other causes but replaced by a fixed restoration",0,"8768",NA,"OHX21CTC","OHXDEN_I.htm","OHX21CTC_OHXDEN_X","OHX21CTC_OHXDEN"
"2083","Y","Tooth present, condition cannot be assessed",7,"8775",NA,"OHX21CTC","OHXDEN_I.htm","OHX21CTC_OHXDEN_Y","OHX21CTC_OHXDEN"
"2084","Z","Permanent tooth with a dental carious surface condition",83,"8858",NA,"OHX21CTC","OHXDEN_I.htm","OHX21CTC_OHXDEN_Z","OHX21CTC_OHXDEN"
"2085","< blank >","Missing",307,"9165",NA,"OHX21CTC","OHXDEN_I.htm","OHX21CTC_OHXDEN_< blank >","OHX21CTC_OHXDEN"
"2086","A","Primary tooth with a restored surface condition",13,"13",NA,"OHX22CTC","OHXDEN_I.htm","OHX22CTC_OHXDEN_A","OHX22CTC_OHXDEN"
"2087","D","Sound primary tooth",1828,"1841",NA,"OHX22CTC","OHXDEN_I.htm","OHX22CTC_OHXDEN_D","OHX22CTC_OHXDEN"
"2088","E","Missing due to dental disease",67,"1908",NA,"OHX22CTC","OHXDEN_I.htm","OHX22CTC_OHXDEN_E","OHX22CTC_OHXDEN"
"2089","F","Permanent tooth with a restored surface condition",141,"2049",NA,"OHX22CTC","OHXDEN_I.htm","OHX22CTC_OHXDEN_F","OHX22CTC_OHXDEN"
"2090","J","Permanent root tip is present but no restorative replacement is present",26,"2075",NA,"OHX22CTC","OHXDEN_I.htm","OHX22CTC_OHXDEN_J","OHX22CTC_OHXDEN"
"2091","K","Primary tooth with a dental carious surface condition",5,"2080",NA,"OHX22CTC","OHXDEN_I.htm","OHX22CTC_OHXDEN_K","OHX22CTC_OHXDEN"
"2092","M","Missing due to other causes",4,"2084",NA,"OHX22CTC","OHXDEN_I.htm","OHX22CTC_OHXDEN_M","OHX22CTC_OHXDEN"
"2093","P","Missing due to dental disease but replaced by a removable restoration",322,"2406",NA,"OHX22CTC","OHXDEN_I.htm","OHX22CTC_OHXDEN_P","OHX22CTC_OHXDEN"
"2094","Q","Missing due to other causes but replaced by a removable restoration",14,"2420",NA,"OHX22CTC","OHXDEN_I.htm","OHX22CTC_OHXDEN_Q","OHX22CTC_OHXDEN"
"2095","R","Missing due to dental disease but replaced by a fixed restoration",12,"2432",NA,"OHX22CTC","OHXDEN_I.htm","OHX22CTC_OHXDEN_R","OHX22CTC_OHXDEN"
"2096","S","Sound permanent tooth",6132,"8564",NA,"OHX22CTC","OHXDEN_I.htm","OHX22CTC_OHXDEN_S","OHX22CTC_OHXDEN"
"2097","T","Permanent root tip is present but a restorative replacement is present",3,"8567",NA,"OHX22CTC","OHXDEN_I.htm","OHX22CTC_OHXDEN_T","OHX22CTC_OHXDEN"
"2098","U","Unerupted",192,"8759",NA,"OHX22CTC","OHXDEN_I.htm","OHX22CTC_OHXDEN_U","OHX22CTC_OHXDEN"
"2099","X","Missing due to other causes but replaced by a fixed restoration",0,"8759",NA,"OHX22CTC","OHXDEN_I.htm","OHX22CTC_OHXDEN_X","OHX22CTC_OHXDEN"
"2100","Y","Tooth present, condition cannot be assessed",22,"8781",NA,"OHX22CTC","OHXDEN_I.htm","OHX22CTC_OHXDEN_Y","OHX22CTC_OHXDEN"
"2101","Z","Permanent tooth with a dental carious surface condition",77,"8858",NA,"OHX22CTC","OHXDEN_I.htm","OHX22CTC_OHXDEN_Z","OHX22CTC_OHXDEN"
"2102","< blank >","Missing",307,"9165",NA,"OHX22CTC","OHXDEN_I.htm","OHX22CTC_OHXDEN_< blank >","OHX22CTC_OHXDEN"
"2103","A","Primary tooth with a restored surface condition",4,"4",NA,"OHX23CTC","OHXDEN_I.htm","OHX23CTC_OHXDEN_A","OHX23CTC_OHXDEN"
"2104","D","Sound primary tooth",1282,"1286",NA,"OHX23CTC","OHXDEN_I.htm","OHX23CTC_OHXDEN_D","OHX23CTC_OHXDEN"
"2105","E","Missing due to dental disease",86,"1372",NA,"OHX23CTC","OHXDEN_I.htm","OHX23CTC_OHXDEN_E","OHX23CTC_OHXDEN"
"2106","F","Permanent tooth with a restored surface condition",78,"1450",NA,"OHX23CTC","OHXDEN_I.htm","OHX23CTC_OHXDEN_F","OHX23CTC_OHXDEN"
"2107","J","Permanent root tip is present but no restorative replacement is present",21,"1471",NA,"OHX23CTC","OHXDEN_I.htm","OHX23CTC_OHXDEN_J","OHX23CTC_OHXDEN"
"2108","K","Primary tooth with a dental carious surface condition",0,"1471",NA,"OHX23CTC","OHXDEN_I.htm","OHX23CTC_OHXDEN_K","OHX23CTC_OHXDEN"
"2109","M","Missing due to other causes",7,"1478",NA,"OHX23CTC","OHXDEN_I.htm","OHX23CTC_OHXDEN_M","OHX23CTC_OHXDEN"
"2110","P","Missing due to dental disease but replaced by a removable restoration",382,"1860",NA,"OHX23CTC","OHXDEN_I.htm","OHX23CTC_OHXDEN_P","OHX23CTC_OHXDEN"
"2111","Q","Missing due to other causes but replaced by a removable restoration",18,"1878",NA,"OHX23CTC","OHXDEN_I.htm","OHX23CTC_OHXDEN_Q","OHX23CTC_OHXDEN"
"2112","R","Missing due to dental disease but replaced by a fixed restoration",27,"1905",NA,"OHX23CTC","OHXDEN_I.htm","OHX23CTC_OHXDEN_R","OHX23CTC_OHXDEN"
"2113","S","Sound permanent tooth",6787,"8692",NA,"OHX23CTC","OHXDEN_I.htm","OHX23CTC_OHXDEN_S","OHX23CTC_OHXDEN"
"2114","T","Permanent root tip is present but a restorative replacement is present",3,"8695",NA,"OHX23CTC","OHXDEN_I.htm","OHX23CTC_OHXDEN_T","OHX23CTC_OHXDEN"
