"","code","libel"
"445","DR2TMOIS_DR2TOT","Moisture (gm)"
"446","DR2TS040_DR2TOT","SFA 4:0 (Butanoic) (gm)"
"447","DR2TS060_DR2TOT","SFA 6:0 (Hexanoic) (gm)"
"448","DR2TS080_DR2TOT","SFA 8:0 (Octanoic) (gm)"
"449","DR2TS100_DR2TOT","SFA 10:0 (Decanoic) (gm)"
"450","DR2TS120_DR2TOT","SFA 12:0 (Dodecanoic) (gm)"
"451","DR2TS140_DR2TOT","SFA 14:0 (Tetradecanoic) (gm)"
"452","DR2TS160_DR2TOT","SFA 16:0 (Hexadecanoic) (gm)"
"453","DR2TS180_DR2TOT","SFA 18:0 (Octadecanoic) (gm)"
"454","DR2TM161_DR2TOT","MFA 16:1 (Hexadecenoic) (gm)"
"455","DR2TM181_DR2TOT","MFA 18:1 (Octadecenoic) (gm)"
"456","DR2TM201_DR2TOT","MFA 20:1 (Eicosenoic) (gm)"
"457","DR2TM221_DR2TOT","MFA 22:1 (Docosenoic) (gm)"
"458","DR2TP182_DR2TOT","PFA 18:2 (Octadecadienoic) (gm)"
"459","DR2TP183_DR2TOT","PFA 18:3 (Octadecatrienoic) (gm)"
"460","DR2TP184_DR2TOT","PFA 18:4 (Octadecatetraenoic) (gm)"
"461","DR2TP204_DR2TOT","PFA 20:4 (Eicosatetraenoic) (gm)"
"462","DR2TP205_DR2TOT","PFA 20:5 (Eicosapentaenoic) (gm)"
"463","DR2TP225_DR2TOT","PFA 22:5 (Docosapentaenoic) (gm)"
"464","DR2TP226_DR2TOT","PFA 22:6 (Docosahexaenoic) (gm)"
"465","DR2_300_DR2TOT","Compare food consumed yesterday to usual"
"466","DR2_320Z_DR2TOT","Total plain water drank yesterday (gm)"
"467","DR2_330Z_DR2TOT","Total tap water drank yesterday (gm)"
"468","DR2BWATZ_DR2TOT","Total bottled water drank yesterday (gm)"
"469","DR2TWS_DR2TOT","Tap water source"
"470","SEQN_BPX","Respondent sequence number"
"471","PEASCCT1_BPX","Blood Pressure Comment"
"472","BPXCHR_BPX","60 sec HR (30 sec HR * 2)"
"473","BPAARM_BPX","Arm selected"
"474","BPACSZ_BPX","Coded cuff size"
"475","BPXPLS_BPX","60 sec. pulse (30 sec. pulse * 2)"
"476","BPXPULS_BPX","Pulse regular or irregular?"
"477","BPXPTY_BPX","Pulse type"
"478","BPXML1_BPX","MIL: maximum inflation levels (mm Hg)"
"479","BPXSY1_BPX","Systolic: Blood pres (1st rdg) mm Hg"
"480","BPXDI1_BPX","Diastolic: Blood pres (1st rdg) mm Hg"
"481","BPAEN1_BPX","Enhancement used first reading"
"482","BPXSY2_BPX","Systolic: Blood pres (2nd rdg) mm Hg"
"483","BPXDI2_BPX","Diastolic: Blood pres (2nd rdg) mm Hg"
"484","BPAEN2_BPX","Enhancement used second reading"
"485","BPXSY3_BPX","Systolic: Blood pres (3rd rdg) mm Hg"
"486","BPXDI3_BPX","Diastolic: Blood pres (3rd rdg) mm Hg"
"487","BPAEN3_BPX","Enhancement used third reading"
"488","BPXSY4_BPX","Systolic: Blood pres (4th rdg) mm Hg"
"489","BPXDI4_BPX","Diastolic: Blood pres (4th rdg) mm Hg"
"490","BPAEN4_BPX","Enhancement used fourth reading"
"491","SEQN_BMX","Respondent sequence number"
"492","BMDSTATS_BMX","Body Measures Component Status Code"
"493","BMXWT_BMX","Weight (kg)"
"494","BMIWT_BMX","Weight Comment"
"495","BMXRECUM_BMX","Recumbent Length (cm) "
"496","BMIRECUM_BMX","Recumbent Length Comment"
"497","BMXHEAD_BMX","Head Circumference (cm) "
"498","BMIHEAD_BMX","Head Circumference Comment"
"499","BMXHT_BMX","Standing Height (cm)"
"500","BMIHT_BMX","Standing Height Comment"
"501","BMXBMI_BMX","Body Mass Index (kg/m**2)"
"502","BMDBMIC_BMX","Children/Youth"
"503","BMXLEG_BMX","Upper Leg Length (cm)"
"504","BMILEG_BMX","Upper Leg Length Comment"
"505","BMXARML_BMX","Upper Arm Length (cm)"
"506","BMIARML_BMX","Upper Arm Length Comment"
"507","BMXARMC_BMX","Arm Circumference (cm)"
"508","BMIARMC_BMX","Arm Circumference Comment"
"509","BMXWAIST_BMX","Waist Circumference (cm)"
"510","BMIWAIST_BMX","Waist Circumference Comment"
"511","BMXSAD1_BMX","Sagittal Abdominal Diameter 1st (cm)"
"512","BMXSAD2_BMX","Sagittal Abdominal Diameter 2nd (cm)"
"513","BMXSAD3_BMX","Sagittal Abdominal Diameter 3rd (cm)"
"514","BMXSAD4_BMX","Sagittal Abdominal Diameter 4th (cm)"
"515","BMDAVSAD_BMX","Average Sagittal Abdominal Diameter (cm)"
"516","BMDSADCM_BMX","Sagittal Abdominal Diameter Comment"
"517","SEQN_OHXDEN","Respondent sequence number"
"518","OHDEXSTS_OHXDEN","Overall Oral Health Exam Status"
"519","OHDDESTS_OHXDEN","Dentition Status Code"
"520","OHXIMP_OHXDEN","Dental Implant: yes / no? "
"521","OHX01TC_OHXDEN","Tooth Count:  #1"
"522","OHX02TC_OHXDEN","Tooth Count:  #2"
"523","OHX03TC_OHXDEN","Tooth Count:  #3"
"524","OHX04TC_OHXDEN","Tooth Count:  #4"
"525","OHX05TC_OHXDEN","Tooth Count:  #5"
"526","OHX06TC_OHXDEN","Tooth Count:  #6"
"527","OHX07TC_OHXDEN","Tooth Count:  #7"
"528","OHX08TC_OHXDEN","Tooth Count:  #8"
"529","OHX09TC_OHXDEN","Tooth Count:  #9"
"530","OHX10TC_OHXDEN","Tooth Count:  #10"
"531","OHX11TC_OHXDEN","Tooth Count:  #11"
"532","OHX12TC_OHXDEN","Tooth Count:  #12"
"533","OHX13TC_OHXDEN","Tooth Count:  #13"
"534","OHX14TC_OHXDEN","Tooth Count:  #14"
"535","OHX15TC_OHXDEN","Tooth Count:  #15"
"536","OHX16TC_OHXDEN","Tooth Count:  #16"
"537","OHX17TC_OHXDEN","Tooth Count:  #17"
"538","OHX18TC_OHXDEN","Tooth Count:  #18"
"539","OHX19TC_OHXDEN","Tooth Count:  #19"
"540","OHX20TC_OHXDEN","Tooth Count:  #20"
"541","OHX21TC_OHXDEN","Tooth Count:  #21"
"542","OHX22TC_OHXDEN","Tooth Count:  #22"
"543","OHX23TC_OHXDEN","Tooth Count:  #23"
"544","OHX24TC_OHXDEN","Tooth Count:  #24"
"545","OHX25TC_OHXDEN","Tooth Count:  #25"
"546","OHX26TC_OHXDEN","Tooth Count:  #26"
"547","OHX27TC_OHXDEN","Tooth Count:  #27"
"548","OHX28TC_OHXDEN","Tooth Count:  #28"
"549","OHX29TC_OHXDEN","Tooth Count:  #29"
"550","OHX30TC_OHXDEN","Tooth Count:  #30"
"551","OHX31TC_OHXDEN","Tooth Count:  #31"
"552","OHX32TC_OHXDEN","Tooth Count:  #32"
"553","OHX02CTC_OHXDEN","Coronal Caries: Tooth Count #2"
"554","OHX03CTC_OHXDEN","Coronal Caries: Tooth Count #3"
"555","OHX04CTC_OHXDEN","Coronal Caries: Tooth Count #4"
"556","OHX05CTC_OHXDEN","Coronal Caries: Tooth Count #5"
"557","OHX06CTC_OHXDEN","Coronal Caries: Tooth Count #6"
"558","OHX07CTC_OHXDEN","Coronal Caries: Tooth Count #7"
"559","OHX08CTC_OHXDEN","Coronal Caries: Tooth Count #8"
"560","OHX09CTC_OHXDEN","Coronal Caries: Tooth Count #9"
"561","OHX10CTC_OHXDEN","Coronal Caries: Tooth Count #10"
"562","OHX11CTC_OHXDEN","Coronal Caries: Tooth Count #11"
"563","OHX12CTC_OHXDEN","Coronal Caries: Tooth Count #12"
"564","OHX13CTC_OHXDEN","Coronal Caries: Tooth Count #13"
"565","OHX14CTC_OHXDEN","Coronal Caries: Tooth Count #14"
"566","OHX15CTC_OHXDEN","Coronal Caries: Tooth Count #15"
"567","OHX18CTC_OHXDEN","Coronal Caries: Tooth Count #18"
"568","OHX19CTC_OHXDEN","Coronal Caries: Tooth Count #19"
"569","OHX20CTC_OHXDEN","Coronal Caries: Tooth Count #20"
"570","OHX21CTC_OHXDEN","Coronal Caries: Tooth Count #21"
"571","OHX22CTC_OHXDEN","Coronal Caries: Tooth Count #22"
"572","OHX23CTC_OHXDEN","Coronal Caries: Tooth Count #23"
"573","OHX24CTC_OHXDEN","Coronal Caries: Tooth Count #24"
"574","OHX25CTC_OHXDEN","Coronal Caries: Tooth Count #25"
"575","OHX26CTC_OHXDEN","Coronal Caries: Tooth Count #26"
"576","OHX27CTC_OHXDEN","Coronal Caries: Tooth Count #27"
"577","OHX28CTC_OHXDEN","Coronal Caries: Tooth Count #28"
"578","OHX29CTC_OHXDEN","Coronal Caries: Tooth Count #29"
"579","OHX30CTC_OHXDEN","Coronal Caries: Tooth Count #30"
"580","OHX31CTC_OHXDEN","Coronal Caries: Tooth Count #31"
"581","OHX02CSC_OHXDEN","Coronal Caries:  Surface condition #2"
"582","OHX03CSC_OHXDEN","Coronal Caries:  Surface condition #3"
"583","OHX04CSC_OHXDEN","Coronal Caries:  Surface condition #4"
"584","OHX05CSC_OHXDEN","Coronal Caries:  Surface condition #5"
"585","OHX06CSC_OHXDEN","Coronal Caries:  Surface condition #6"
"586","OHX07CSC_OHXDEN","Coronal Caries:  Surface condition #7"
"587","OHX08CSC_OHXDEN","Coronal Caries:  Surface condition #8"
"588","OHX09CSC_OHXDEN","Coronal Caries:  Surface condition #9"
"589","OHX10CSC_OHXDEN","Coronal Caries:  Surface condition #10"
"590","OHX11CSC_OHXDEN","Coronal Caries:  Surface condition #11"
"591","OHX12CSC_OHXDEN","Coronal Caries:  Surface condition #12"
"592","OHX13CSC_OHXDEN","Coronal Caries:  Surface condition #13"
"593","OHX14CSC_OHXDEN","Coronal Caries:  Surface condition #14"
"594","OHX15CSC_OHXDEN","Coronal Caries:  Surface condition #15"
"595","OHX18CSC_OHXDEN","Coronal Caries:  Surface condition #18"
"596","OHX19CSC_OHXDEN","Coronal Caries:  Surface condition #19"
"597","OHX20CSC_OHXDEN","Coronal Caries:  Surface condition #20"
"598","OHX21CSC_OHXDEN","Coronal Caries:  Surface condition #21"
"599","OHX22CSC_OHXDEN","Coronal Caries:  Surface condition #22"
"600","OHX23CSC_OHXDEN","Coronal Caries:  Surface condition #23"
"601","OHX24CSC_OHXDEN","Coronal Caries:  Surface condition #24"
"602","OHX25CSC_OHXDEN","Coronal Caries:  Surface condition #25"
"603","OHX26CSC_OHXDEN","Coronal Caries:  Surface condition #26"
"604","OHX27CSC_OHXDEN","Coronal Caries:  Surface condition #27"
"605","OHX28CSC_OHXDEN","Coronal Caries:  Surface condition #28"
"606","OHX29CSC_OHXDEN","Coronal Caries:  Surface condition #29"
"607","OHX30CSC_OHXDEN","Coronal Caries:  Surface condition #30"
"608","OHX31CSC_OHXDEN","Coronal Caries:  Surface condition #31"
"609","OHXRCAR_OHXDEN","Root caries"
"610","OHXRCARO_OHXDEN","carious root lesion"
"611","OHXRRES_OHXDEN","Root caries restoration"
"612","OHXRRESO_OHXDEN","carious root restoration"
"613","OHX02SE_OHXDEN","Dental Sealants:  #2"
"614","OHX03SE_OHXDEN","Dental Sealants:  #3"
"615","OHX04SE_OHXDEN","Dental Sealants:  #4"
"616","OHX05SE_OHXDEN","Dental Sealants:  #5"
"617","OHX07SE_OHXDEN","Dental Sealants:  #7"
"618","OHX10SE_OHXDEN","Dental Sealants:  #10"
"619","OHX12SE_OHXDEN","Dental Sealants:  #12"
"620","OHX13SE_OHXDEN","Dental Sealants:  #13"
"621","OHX14SE_OHXDEN","Dental Sealants:  #14"
"622","OHX15SE_OHXDEN","Dental Sealants:  #15"
"623","OHX18SE_OHXDEN","Dental Sealants:  #18"
"624","OHX19SE_OHXDEN","Dental Sealants:  #19"
"625","OHX20SE_OHXDEN","Dental Sealants:  #20"
"626","OHX21SE_OHXDEN","Dental Sealants:  #21"
"627","OHX28SE_OHXDEN","Dental Sealants:  #28"
"628","OHX29SE_OHXDEN","Dental Sealants:  #29"
"629","OHX30SE_OHXDEN","Dental Sealants:  #30"
"630","OHX31SE_OHXDEN","Dental Sealants:  #31"
"631","SEQN_OHXREF","Respondent sequence number"
"632","OHDEXSTS_OHXREF","Overall Oral Health Exam Status"
"633","OHDRCSTS_OHXREF","Recommendation Care Status Code"
"634","OHAREC_OHXREF","Overall recommendation for care"
"635","OHAROCDT_OHXREF","Decayed teeth"
"636","OHAROCGP_OHXREF","Gum disease/problem"
"637","OHAROCOH_OHXREF","Oral hygiene"
"638","OHAROCCI_OHXREF","Impression of soft tissue condition"
"639","OHAROCDE_OHXREF","Denture/Partial Denture/Plates"
"640","OHARNF_OHXREF","No significant findings"
"641","OHAROTH_OHXREF","Some other finding (specify w/referral)"
"642","OHAPOS_OHXREF","Was participant exam position recumbent"
"643","SEQN_ALB_CR","Respondent sequence number"
"644","URXUMA_ALB_CR","Albumin, urine (ug/mL)"
"645","URDUMALC_ALB_CR","Albumin, urine comment code"
"646","URXUMS_ALB_CR","Albumin, urine (mg/L)"
"647","URXUCR_ALB_CR","Creatinine, urine (mg/dL)"
"648","URDUCRLC_ALB_CR","Creatinine, urine comment code"
"649","URXCRS_ALB_CR","Creatinine, urine (umol/L)"
"650","URDACT_ALB_CR","Albumin creatinine ratio (mg/g)"
"651","SEQN_UADM","Respondent sequence number"
"652","WTSA2YR_UADM","Subsample A Weights"
"653","URX4TDA_UADM","Diaminotoluene (4TDA) (ng/mL)"
"654","URD4DALC_UADM","Diaminotoluene (4TDA) Comment Code"
"655","URX6TDA_UADM","Diaminotoluene (6TDA) (ng/mL)"
"656","URD6DALC_UADM","Diaminotoluene (6TDA) Comment Code"
"657","URX4MDA_UADM","4MDA (ng/mL)"
"658","URD4MALC_UADM","4MDA Comment Code"
"659","URX5NDA_UADM","Diaminonaphthalene (5NDA) (ng/mL)"
"660","URD5NALC_UADM","5NDA Comment Code"
"661","URXPPDA_UADM","Phenylenediamine (PPDA) (ng/mL)"
"662","URDPDALC_UADM","Phenylenediamine (PPDA) Comment Code"
"663","SEQN_UTASS","Respondent sequence number"
"664","WTFSM_UTASS","Two year smoking weights"
"665","URXUAS_UTASS","Urinary arsenic, total (ug/L)"
"666","SEQN_UTAS","Respondent sequence number"
"667","WTSA2YR_UTAS","Subsample A weights"
"668","URXUAS_UTAS","Urinary arsenic, total (ug/L)"
"669","SEQN_PBCD","Respondent sequence number"
"670","WTSH2YR_PBCD","Blood metal weights"
"671","LBXBPB_PBCD","Blood lead (ug/dL)"
"672","LBDBPBSI_PBCD","Blood lead (umol/L)"
"673","LBDBPBLC_PBCD","Blood lead comment code"
"674","LBXBCD_PBCD","Blood cadmium (ug/L)"
"675","LBDBCDSI_PBCD","Blood cadmium (umol/L)"
"676","LBDBCDLC_PBCD","Blood cadmium comment code"
"677","LBXTHG_PBCD","Blood mercury, total (ug/L) "
"678","LBDTHGSI_PBCD","Blood mercury, total (umol/L)"
"679","LBDTHGLC_PBCD","Blood mercury, total comment code"
"680","LBXBSE_PBCD","Blood selenium (ug/L)"
"681","LBDBSESI_PBCD","Blood selenium (umol/L)"
"682","LBDBSELC_PBCD","Blood selenium comment code"
"683","LBXBMN_PBCD","Blood manganese (ug/L)"
"684","LBDBMNSI_PBCD","Blood manganese (umol/L)"
"685","LBDBMNLC_PBCD","Blood manganese comment code"
"686","SEQN_IHGEM","Respondent sequence number"
"687","WTSH2YR_IHGEM","Blood metal weights"
"688","LBXIHG_IHGEM","Mercury, inorganic (ug/L)"
"689","LBDIHGSI_IHGEM","Mercury, inorganic (umol/L)"
"690","LBDIHGLC_IHGEM","Mercury, inorganic comment code"
"691","LBXBGE_IHGEM","Mercury, ethyl (ug/L)"
"692","LBDBGELC_IHGEM","Mercury, ethyl comment code"
"693","LBXBGM_IHGEM","Mercury, methyl (ug/L)"
"694","LBDBGMLC_IHGEM","Mercury, methyl comment code"
"695","SEQN_CHLMDA","Respondent sequence number"
"696","URXUCL_CHLMDA","Chlamydia, Urine"
"697","SEQN_HDL","Respondent sequence number"
"698","LBDHDD_HDL","Cholesterol (mg/dL)"
"699","LBDHDDSI_HDL","Cholesterol (mmol/L)"
"700","SEQN_TCHOL","Respondent sequence number"
"701","LBXTC_TCHOL","Total Cholesterol (mg/dL)"
"702","LBDTCSI_TCHOL","Total Cholesterol (mmol/L)"
"703","SEQN_CRCO","Respondent sequence number"
"704","LBXBCR_CRCO","Chromium (ug/L)"
"705","LBDBCRSI_CRCO","Chromium (nmol/L)"
"706","LBDBCRLC_CRCO","Chromium comment code"
"707","LBXBCO_CRCO","Cobalt (ug/L)"
"708","LBDBCOSI_CRCO","Cobalt (nmol/L)"
"709","LBDBCOLC_CRCO","Cobalt comment code"
"710","SEQN_CBC","Respondent sequence number"
"711","LBXWBCSI_CBC","White blood cell count (1000 cells/uL)"
"712","LBXLYPCT_CBC","Lymphocyte percent (%)"
"713","LBXMOPCT_CBC","Monocyte percent (%)"
"714","LBXNEPCT_CBC","Segmented neutrophils percent (%)"
"715","LBXEOPCT_CBC","Eosinophils percent (%)"
"716","LBXBAPCT_CBC","Basophils percent (%)"
"717","LBDLYMNO_CBC","Lymphocyte number (1000 cells/uL)"
"718","LBDMONO_CBC","Monocyte number (1000 cells/uL)"
"719","LBDNENO_CBC","Segmented neutrophils num (1000 cell/uL)"
"720","LBDEONO_CBC","Eosinophils number (1000 cells/uL)"
"721","LBDBANO_CBC","Basophils number (1000 cells/uL)"
"722","LBXRBCSI_CBC","Red blood cell count (million cells/uL)"
"723","LBXHGB_CBC","Hemoglobin (g/dL)"
"724","LBXHCT_CBC","Hematocrit (%)"
"725","LBXMCVSI_CBC","Mean cell volume (fL)"
"726","LBXMCHSI_CBC","Mean Cell Hgb Conc. (g/dL)"
"727","LBXMCH_CBC","Mean cell hemoglobin (pg)"
"728","LBXRDW_CBC","Red cell distribution width (%)"
"729","LBXPLTSI_CBC","Platelet count (1000 cells/uL)"
"730","LBXMPSI_CBC","Mean platelet volume (fL)"
"731","SEQN_CUSEZN","Respondent sequence number"
"732","WTSA2YR_CUSEZN","Subsample A weights"
"733","LBXSCU_CUSEZN","Serum Copper (ug/dL)"
"734","LBDSCUSI_CUSEZN","Serum Copper (umol/L)"
"735","LBXSSE_CUSEZN","Serum Selenium (ug/L)"
"736","LBDSSESI_CUSEZN","Serum Selenium (umol/L)"
"737","LBXSZN_CUSEZN","Serum Zinc (ug/dL)"
"738","LBDSZNSI_CUSEZN","Serum Zinc (umol/L)"
"739","SEQN_FASTQX","Respondent sequence number"
"740","PHQ020_FASTQX","Coffee or tea with cream or sugar?"
"741","PHACOFHR_FASTQX","Coffee/tea fast time (hours)"
"742","PHACOFMN_FASTQX","Coffee/tea fast time (minutes)"
"743","PHQ030_FASTQX","Alcohol, such as beer, wine, or liquor?"
"744","PHAALCHR_FASTQX","Alcohol fast time (hours)"
"745","PHAALCMN_FASTQX","Alcohol fast time (minutes)"
"746","PHQ040_FASTQX","Gum, mints, lozenges or cough drops"
"747","PHAGUMHR_FASTQX","Gum, mints cough drops fast time (hours)"
"748","PHAGUMMN_FASTQX","Gum, mints, cough fast time (minutes)"
"749","PHQ050_FASTQX","diarrheals?"
"750","PHAANTHR_FASTQX","Antacids, laxatives fast time (hours)"
"751","PHAANTMN_FASTQX","Antacids, laxatives fast time (minutes)"
"752","PHQ060_FASTQX","Dietary supplements?"
"753","PHASUPHR_FASTQX","Dietary supplements fast time (hours)"
"754","PHASUPMN_FASTQX","Dietary supplements fast time (minutes)"
"755","PHAFSTHR_FASTQX","Total length of ""food fast,"" hours"
"756","PHAFSTMN_FASTQX","Total length of  ""food fast,"" minutes"
"757","PHDSESN_FASTQX","Session in which SP was examined"
"758","SEQN_FLDEP","Respondent sequence number"
"759","LBDPFL_FLDEP","Fluoride, plasma (umol/L) average 2 "
"760","SEQN_FLDEW","Respondent sequence number"
"761","LBDWFL_FLDEW","Fluoride, water (mg/L) average 2 values"
"762","SEQN_GHB","Respondent sequence number"
"763","LBXGH_GHB","Glycohemoglobin (%)"
"764","SEQN_HEPA","Respondent sequence number"
"765","LBXHA_HEPA","Hepatitis A antibody"
"766","SEQN_HEPBD","Respondent sequence number"
"767","LBXHBC_HEPBD","Hepatitis B core antibody"
"768","LBDHBG_HEPBD","Hepatitis B surface antigen"
"769","LBDHD_HEPBD","HDV)"
"770","SEQN_HEPB_S","Respondent sequence number"
"771","LBXHBS_HEPB_S","Hepatitis B Surface Antibody"
"772","SEQN_HEPC","Respondent sequence number"
"773","LBXHCR_HEPC","Hepatitis C RNA"
"774","LBXHCG_HEPC","Hepatitis C Genotype"
"775","SEQN_HEPE","Respondent sequence number"
"776","LBDHEG_HEPE","HEV)"
"777","LBDHEM_HEPE","HEV)"
"778","SEQN_HSV","Respondent sequence number"
"779","LBXHE1_HSV","Herpes Simplex Virus Type 1"
"780","LBXHE2_HSV","Herpes Simplex Virus Type 2"
"781","SEQN_HIV","Respondent sequence number"
"782","LBXHIVC_HIV","1, 2 Combo Test"
"783","LBXHIV1_HIV","1"
"784","LBXHIV2_HIV","2"
"785","LBXHNAT_HIV","HIV Confirmatory Test"
"786","SEQN_HPVSWC","Respondent sequence number"
"787","LBXHP2C_HPVSWC","Cobas HPV Swab High Risk"
"788","SEQN_HPVSWR","Respondent sequence number"
"789","LBDRPCR_HPVSWR","Roche HPV linear array summary result"
"790","LBDRHP_HPVSWR","Roche LA high positive globin control"
"791","LBDRLP_HPVSWR","Roche LA low positive globin control"
"792","LBDR06_HPVSWR","HPV type 6"
"793","LBDR11_HPVSWR","HPV type 11"
"794","LBDR16_HPVSWR","HPV type 16"
"795","LBDR18_HPVSWR","HPV type 18"
"796","LBDR26_HPVSWR","HPV type 26"
"797","LBDR31_HPVSWR","HPV type 31"
"798","LBDR33_HPVSWR","HPV type 33"
"799","LBDR35_HPVSWR","HPV type 35"
"800","LBDR39_HPVSWR","HPV type 39"
"801","LBDR40_HPVSWR","HPV type 40"
"802","LBDR42_HPVSWR","HPV type 42"
"803","LBDR45_HPVSWR","HPV type 45"
"804","LBDR51_HPVSWR","HPV type 51"
"805","LBDR52_HPVSWR","HPV type 52"
"806","LBDR53_HPVSWR","HPV type 53"
"807","LBDR54_HPVSWR","HPV type 54"
"808","LBDR55_HPVSWR","HPV type 55"
"809","LBDR56_HPVSWR","HPV type 56"
"810","LBDR58_HPVSWR","HPV type 58"
"811","LBDR59_HPVSWR","HPV type 59"
"812","LBDR61_HPVSWR","HPV type 61"
"813","LBDR62_HPVSWR","HPV type 62"
"814","LBDR64_HPVSWR","HPV type 64"
"815","LBDR66_HPVSWR","HPV type 66"
"816","LBDR67_HPVSWR","HPV type 67"
"817","LBDR68_HPVSWR","HPV type 68"
"818","LBDR69_HPVSWR","HPV type 69"
"819","LBDR70_HPVSWR","HPV type 70"
"820","LBDR71_HPVSWR","HPV type 71"
"821","LBDR72_HPVSWR","HPV type 72"
"822","LBDR73_HPVSWR","HPV type 73"
"823","LBDR81_HPVSWR","HPV type 81"
"824","LBDR82_HPVSWR","HPV type 82"
"825","LBDR83_HPVSWR","HPV type 83"
"826","LBDR84_HPVSWR","HPV type 84"
"827","LBDR89_HPVSWR","HPV type 89"
"828","LBDRPI_HPVSWR","HPV type IS39"
"829","SEQN_INS","Respondent sequence number"
"830","WTSAF2YR_INS","Fasting Subsample 2 Year MEC Weight"
"831","LBXIN_INS","Insulin (uU/mL)"
"832","LBDINSI_INS","Insulin (pmol/L)"
"833","LBDINLC_INS","Insulin Comment Code"
"834","PHAFSTHR_INS","Total length of 'food fast', hours"
"835","PHAFSTMN_INS","Total length of 'food fast', minutes"
"836","SEQN_UIO","Respondent sequence number"
"837","WTSA2YR_UIO","Subsample A weights"
"838","URXUIO_UIO","Iodine, urine (ug/L)"
"839","URDUIOLC_UIO","Iodine, urine comment code"
"840","SEQN_UHG","Respondent sequence number"
"841","WTSA2YR_UHG","Subsample A weights"
"842","URXUHG_UHG","Urine Mercury (ug/L)"
"843","URDUHGLC_UHG","Mercury, Urine Comment Code"
"844","SEQN_UM","Respondent sequence number"
"845","WTSA2YR_UM","Subsample A weights"
"846","URXUBA_UM","Barium, urine (ug/L)"
"847","URDUBALC_UM","Urinary Barium Comment Code"
"848","URXUCD_UM","Cadmium, urine (ug/L)"
"849","URDUCDLC_UM","Urinary Cadmium Comment Code"
"850","URXUCO_UM","Cobalt, urine (ug/L)"
"851","URDUCOLC_UM","Urinary Cobalt Comment Code"
"852","URXUCS_UM","Cesium, urine (ug/L)"
"853","URDUCSLC_UM","Urinary Cesium Comment Code"
"854","URXUMO_UM","Molybdenum, urine (ug/L)"
"855","URDUMOLC_UM","Urinary Molybdenum Comment Code"
"856","URXUMN_UM","Manganese, urine (ug/L)"
"857","URDUMNLC_UM","Urinary Mn Comment Code"
"858","URXUPB_UM","Lead, urine (ug/L)"
"859","URDUPBLC_UM","Urinary Lead Comment Code"
"860","URXUSB_UM","Antimony, urine (ug/L)"
"861","URDUSBLC_UM","Urinary Antimony Comment Code"
"862","URXUSN_UM","Tin, urine (ug/L)"
"863","URDUSNLC_UM","USN Comment Code"
"864","URXUSR_UM","Strontium, urine (ug/L)"
"865","URDUSRLC_UM","USR Comment Code"
"866","URXUTL_UM","Thallium, urine (ug/L)"
"867","URDUTLLC_UM","Urinary Thallium Comment Code"
"868","URXUTU_UM","Tungsten, urine (ug/L)"
"869","URDUTULC_UM","Urinary Tungsten Comment Code"
"870","URXUUR_UM","Uranium, urine (ug/L)"
"871","URDUURLC_UM","Urinary Uranium Comment Code"
"872","SEQN_UMS","Respondent sequence number"
"873","WTFSM_UMS","Two year smoking weights"
"874","URXUBA_UMS","Barium, urine (ug/L)"
"875","URDUBALC_UMS","Urinary Barium Comment Code"
"876","URXUCD_UMS","Cadmium, urine (ug/L)"
"877","URDUCDLC_UMS","Urinary Cadmium Comment Code"
"878","URXUCO_UMS","Cobalt, urine (ug/L)"
"879","URDUCOLC_UMS","Urinary Cobalt Comment Code"
"880","URXUCS_UMS","Cesium, urine (ug/L)"
"881","URDUCSLC_UMS","Urinary Cesium Comment Code"
"882","URXUMO_UMS","Molybdenum, urine (ug/L)"
"883","URDUMOLC_UMS","Urinary Molybdenum Comment Code"
"884","URXUMN_UMS","Manganese, urine (ug/L)"
"885","URDUMNLC_UMS","Urinary Mn Comment Code"
"886","URXUPB_UMS","Lead, urine (ug/L)"
"887","URDUPBLC_UMS","Urinary Lead Comment Code"
"888","URXUSB_UMS","Antimony, urine (ug/L)"
"889","URDUSBLC_UMS","Urinary Antimony Comment Code"
"890","URXUSN_UMS","Tin, urine (ug/L)"
"891","URDUSNLC_UMS","USN Comment Code"
"892","URXUSR_UMS","Strontium, urine (ug/L)"
"893","URDUSRLC_UMS","USR Comment Code"
"894","URXUTL_UMS","Thallium, urine (ug/L)"
"895","URDUTLLC_UMS","Urinary Thallium Comment Code"
"896","URXUTU_UMS","Tungsten, urine (ug/L)"
"897","URDUTULC_UMS","Urinary Tungsten Comment Code"
"898","URXUUR_UMS","Uranium, urine (ug/L)"
"899","URDUURLC_UMS","Urinary Uranium Comment Code"
"900","SEQN_SSMHHT","Respondent sequence number"
"901","WTSB2YR_SSMHHT","Subsample B weights"
"902","SSMHHT_SSMHHT","Mono2ethyl5hydroxyhexyl terephth (ug/L)"
"903","SSMHHTL_SSMHHT","5hydroxyhexyl terephth cmt cd"
"904","SSECPT_SSMHHT","Mono2ethyl5carboxypentyl terephth (ug/L)"
"905","SSECPTL_SSMHHT","Mono2ethyl5carboxypentyl terephth cmt cd"
"906","SSMONP_SSMHHT","Monooxoisononyl phthalate (ug/L)"
"907","SSMONPL_SSMHHT","Monooxoisononyl phthalate cmt cd"
"908","SEQN_OGTT","Respondent sequence number"
"909","WTSOG2YR_OGTT","OGTT Subsample MEC Weight"
